id,gender,birth,degree
62127,M,1992-11-15,1b
62128,M,1986-12-04,1a
62129,F,1989-11-08,1d
62130,F,1982-11-25,1b
62131,F,1985-09-28,1c
62132,F,1992-07-20,1g
62133,F,1979-08-11,1a
62134,F,1952-01-02,1c
62135,F,1990-11-03,1b
62136,M,1993-04-12,1b
62137,F,1989-08-02,1b
62138,M,1986-10-06,1c
62139,F,2013-05-05,1h
62140,M,2010-12-03,1f
62141,M,1978-12-05,1g
62142,F,1970-11-06,1d
62143,M,1985-01-25,1b
62144,M,1940-05-14,1d
62145,F,1995-02-09,1b
62146,M,1995-04-03,1g
62147,F,1988-12-28,1c
62148,M,2012-01-15,1g
62149,F,1982-08-08,1g
62150,M,1976-05-18,1b
62151,M,1977-01-01,1c
62152,F,1988-04-22,1g
62153,M,1989-12-31,1g
62154,M,2012-03-12,1h
62155,F,1979-03-09,1c
62156,M,1982-04-20,1c
62157,F,2013-07-07,1h
62158,F,1989-10-25,1b
62159,M,1991-05-03,1b
62160,F,1995-07-02,1a
62161,F,1992-06-15,1a
62162,M,1981-09-12,1b
62163,M,1947-05-03,1b
62164,F,1989-07-01,1c
62165,M,1987-05-03,1a
62166,F,1986-06-02,1a
62167,F,1963-06-26,1g
62168,F,1984-10-02,1b
62169,M,1993-08-10,1c
62170,F,1993-08-04,1c
62171,F,1969-07-12,1a
62172,M,1985-12-14,1b
62173,F,1986-12-05,1a
62174,F,1994-10-27,1a
62175,F,1993-09-20,1b
62176,M,1986-06-01,1a
62177,F,1995-10-05,1g
62178,M,1994-03-06,1b
62179,M,1999-02-17,1d
62180,F,1999-05-31,1c
62181,M,1990-01-28,1a
62182,M,1986-01-08,1c
62183,M,1984-12-25,1d
62184,M,1993-04-16,1b
62185,F,1970-04-24,1b
62186,F,1983-04-18,1c
62187,F,1971-12-10,1c
62188,M,1988-09-10,1b
62189,F,1996-04-29,1c
62190,M,1955-07-31,1g
62191,F,1968-09-26,1d
62192,M,1973-09-09,1g
62193,M,1990-04-21,1b
62194,M,1994-08-16,1a
62195,M,1979-11-27,1g
62196,M,1987-02-12,1b
62197,M,2015-01-29,1h
62198,F,1988-11-11,1b
62199,F,1989-02-18,1b
62200,M,1992-10-11,1b
62201,F,1988-12-16,1d
62202,M,1985-11-07,1g
62203,F,1987-07-17,1b
62204,M,1994-07-06,1b
62205,F,1990-02-01,1a
62206,F,1996-06-17,1c
62207,M,1993-05-11,1b
62208,F,1990-12-03,1b
62209,F,1992-01-28,1b
62210,F,1983-03-06,1g
62211,F,1992-06-05,1g
62212,M,1989-07-29,1b
62213,F,2009-09-12,1f
62214,M,2011-09-25,1h
62215,F,1990-04-26,1b
62216,M,1989-11-06,1a
62217,F,1973-06-01,1a
62218,F,1992-08-26,1b
62219,F,1981-09-22,1g
62220,F,1990-08-29,1b
62221,F,1994-05-09,1b
62222,M,1991-06-15,1a
62223,F,1984-02-12,1b
62224,F,1992-02-21,1a
62225,F,1991-09-27,1b
62226,F,1999-01-31,1d
62227,F,1973-03-08,1b
62228,M,1990-11-25,1b
62229,F,1984-12-31,1b
62230,M,2012-05-14,1g
62231,M,1984-07-09,1a
62232,F,1993-04-10,1b
62233,M,1983-01-25,1b
62234,F,1991-11-27,1b
62235,F,1990-08-05,1b
62236,F,1987-08-09,1b
62237,F,1991-04-08,1b
62238,F,1989-05-06,1a
62239,F,2012-07-14,1g
62240,M,1991-11-06,1d
62241,M,1968-08-08,1a
62242,F,1990-03-10,1b
62243,M,1990-11-30,1c
62244,F,1983-06-02,1a
62245,F,1993-03-19,1b
62246,F,1994-08-10,1g
62247,M,1974-11-05,1c
62248,F,1985-03-14,1b
62249,M,1994-09-02,1c
62250,M,2011-06-29,1f
62251,M,1988-04-02,1b
62252,F,1993-09-08,1a
62253,F,2015-10-16,1h
62254,M,1985-07-13,1b
62255,F,1995-07-30,1b
62256,M,1980-04-22,1a
62257,M,2015-01-20,1g
62258,F,1987-07-06,1a
62259,M,2007-03-27,1f
62260,M,2015-12-19,1h
62261,M,1989-06-04,1a
62262,F,1992-03-27,1h
62263,F,1994-02-21,1b
62264,F,1995-05-17,1c
62265,F,1978-06-03,1b
62266,F,1987-06-02,1e
62267,M,1991-03-24,1b
62268,F,1990-04-25,1g
62269,M,1951-03-20,1b
62270,M,1974-04-12,1a
62271,F,1995-08-18,1b
62272,F,1991-11-11,1b
62273,M,1968-03-23,1a
62274,F,2012-04-17,1h
62275,F,1994-07-11,1b
62276,M,1990-10-21,1d
62277,F,1986-08-22,1g
62278,F,1984-02-17,1a
62279,F,1989-09-02,1b
62280,M,1993-05-17,1c
62281,F,1996-09-06,1c
62282,M,1985-07-20,1a
62283,M,2012-12-05,1h
62284,M,1989-01-18,1a
62285,F,1975-11-05,1b
62286,F,1990-06-03,1g
62287,M,1991-01-03,1b
62288,F,1991-08-04,1b
62289,F,1994-01-13,1b
62290,F,1947-04-24,1b
62291,M,1992-04-19,1b
62292,F,1994-11-20,1c
62293,F,1991-01-20,1b
62294,F,2010-07-27,1f
62295,F,1993-07-14,1b
62296,M,1988-02-11,1a
62297,M,1948-02-24,1c
62298,M,1994-02-16,1b
62299,F,1971-10-15,1d
62300,M,1992-02-25,1c
62301,M,1980-11-28,1b
62302,F,1999-10-01,1g
62303,M,2011-12-25,1g
62304,F,1985-06-22,1g
62305,F,1995-12-16,1d
62306,F,1974-02-23,1b
62307,M,1991-10-21,1b
62308,F,2014-03-21,1h
62309,M,1992-03-27,1b
62310,F,1991-01-26,1b
62311,M,1974-12-23,1d
62312,M,1996-11-14,1d
62313,M,1996-07-21,1c
62314,F,1976-12-22,1b
62315,M,1994-05-12,1b
62316,M,1963-04-15,1g
62317,M,1992-05-13,1b
62318,F,1994-06-10,1g
62319,F,1996-03-17,1g
62320,F,1984-08-15,1b
62321,F,1981-01-31,1a
62322,F,1985-06-06,1a
62323,F,1974-06-02,1c
62324,F,1957-02-18,1d
62325,M,1988-08-20,1g
62326,M,1979-04-27,1g
62327,M,1958-03-24,1b
62328,M,1972-12-08,1b
62329,F,1989-11-03,1b
62330,M,1983-12-25,1d
62331,F,1978-12-25,1b
62332,M,1992-10-18,1g
62333,F,1984-09-08,1a
62334,F,1973-01-04,1b
62335,F,1994-08-18,1c
62336,F,1965-11-28,1b
62337,M,1982-07-28,1a
62338,F,1992-04-18,1b
62339,F,1993-06-15,1a
62340,F,1991-10-10,1c
62341,F,1975-04-12,1g
62342,M,1992-02-17,1g
62343,M,1949-08-17,1g
62344,F,1995-02-21,1b
62345,F,1985-07-25,1c
62346,F,1976-07-03,1g
62347,F,1995-02-02,1c
62348,F,1994-03-06,1b
62349,F,1951-04-11,1g
62350,F,1993-02-10,1g
62351,F,1963-07-07,1g
62352,F,1948-10-26,1g
62353,F,1994-11-18,1b
62354,F,1976-11-09,1b
62355,M,2013-08-27,1h
62356,M,1975-04-01,1g
62357,F,1991-08-29,1g
62358,F,1996-05-13,1g
62359,M,1991-12-18,1b
62360,M,2010-07-21,1f
62361,M,1985-06-12,1c
62362,M,1935-08-04,1b
62363,F,1991-03-02,1a
62364,F,1989-05-20,1b
62365,M,1994-10-01,1b
62366,F,1941-07-13,1g
62367,M,1988-12-12,1c
62368,F,1967-01-20,1b
62369,F,1987-07-26,1a
62370,F,1990-12-03,1b
62371,M,1980-09-24,1b
62372,F,1981-11-05,1a
62373,F,1989-02-03,1b
62374,M,1992-02-02,1a
62375,F,1948-09-26,1d
62376,M,1977-12-27,1b
62377,M,1995-01-08,1b
62378,F,1996-07-20,1d
62379,F,1984-10-15,1b
62380,M,2009-09-03,1f
62381,M,1981-10-16,1b
62382,F,1991-11-24,1b
62383,M,2014-07-11,1h
62384,F,1982-03-18,1a
62385,F,1987-11-16,1g
62386,M,1985-07-29,1g
62387,F,1991-02-17,1a
62388,M,1973-04-23,1c
62389,M,1976-07-26,1b
62390,F,1995-04-12,1g
62391,M,1978-04-20,1c
62392,M,1993-01-26,1b
62393,F,1996-01-05,1b
62394,M,1991-12-02,1b
62395,M,1989-03-24,1a
62396,F,1974-09-26,1a
62397,M,1986-05-02,1b
62398,F,1989-06-06,1b
62399,F,1989-10-23,1b
62400,F,1992-11-18,1b
62401,M,1989-05-16,1c
62402,F,2010-05-21,1f
62403,F,1983-03-19,1h
62404,F,1990-05-23,1a
62405,M,1989-09-19,1b
62406,F,1993-05-04,1b
62407,M,2010-09-27,1f
62408,M,1992-09-25,1b
62409,M,1995-07-14,1b
62410,M,1996-08-18,1c
62411,F,1992-08-31,1c
62412,M,1967-07-08,1a
62413,M,1978-03-07,1b
62414,M,1988-10-04,1b
62415,M,2013-04-17,1h
62416,F,1991-06-24,1b
62417,F,2012-05-27,1h
62418,F,2009-10-08,1f
62419,F,1994-12-31,1b
62420,F,1991-08-21,1a
62421,F,1983-11-22,1g
62422,M,1977-08-11,1c
62423,F,1981-06-03,1a
62424,F,1936-02-07,1b
62425,F,2010-03-18,1f
62426,M,1955-05-06,1g
62427,M,1958-07-07,1d
62428,M,2014-10-21,1g
62429,M,1938-03-14,1d
62430,F,1993-05-12,1g
62431,F,1992-03-25,1g
62432,M,1962-12-12,1b
62433,F,1992-11-25,1b
62434,M,2014-11-13,1g
62435,F,1992-05-15,1b
62436,M,1991-10-02,1b
62437,M,1974-09-29,1b
62438,F,1987-05-13,1b
62439,F,2012-08-24,1g
62440,M,1990-03-25,1g
62441,M,1989-07-02,1a
62442,M,2011-08-06,1f
62443,F,2014-03-07,1h
62444,M,2010-06-10,1f
62445,M,1988-06-06,1b
62446,F,1983-07-14,1a
62447,F,2011-02-24,1f
62448,F,1986-12-12,1g
62449,M,1993-10-05,1c
62450,F,1988-02-01,1c
62451,M,1995-01-15,1b
62452,M,1986-03-10,1a
62453,F,1977-12-04,1g
62454,M,1991-03-15,1b
62455,F,2010-08-18,1f
62456,F,1973-10-25,1b
62457,M,1989-04-01,1b
62458,M,1991-04-04,1g
62459,F,1996-07-16,1b
62460,M,1993-10-21,1b
62461,M,1991-05-21,1b
62462,F,1994-01-09,1c
62463,M,1990-02-19,1b
62464,M,1990-11-15,1g
62465,M,1989-07-15,1a
62466,M,2009-09-15,1f
62467,F,1990-09-10,1a
62468,M,2015-10-27,1h
62469,M,1987-10-16,1b
62470,M,1989-01-08,1a
62471,F,2013-12-13,1h
62472,M,1981-11-01,1b
62473,M,2011-01-17,1f
62474,M,2013-06-08,1g
62475,F,1995-05-03,1b
62476,F,2013-05-28,1h
62477,M,2013-02-02,1g
62478,M,2012-04-28,1h
62479,F,1989-01-11,1g
62480,M,2013-02-15,1h
62481,F,2014-05-06,1g
62482,F,1964-08-08,1g
62483,F,1981-12-24,1g
62484,F,1990-06-26,1d
62485,F,1990-09-04,1b
62486,M,1993-04-07,1b
62487,F,1987-11-21,1b
62488,F,1991-08-05,1g
62489,M,1990-01-16,1b
62490,M,1995-06-03,1b
62491,F,1993-05-18,1g
62492,M,1987-12-17,1g
62493,F,1995-03-31,1b
62494,F,1991-11-04,1g
62495,F,2013-01-01,1g
62496,M,1976-09-26,1a
62497,M,2011-01-20,1f
62498,F,1994-08-21,1b
62499,M,1958-09-12,1c
62500,F,1991-10-12,1a
62501,F,1982-06-15,1h
62502,M,1987-12-25,1c
62503,F,1993-01-27,1b
62504,F,1981-08-15,1c
62505,F,1992-01-14,1g
62506,F,1979-03-28,1b
62507,M,1957-03-13,1g
62508,F,1992-12-07,1b
62509,M,1997-03-14,1g
62510,F,1994-02-17,1b
62511,M,1983-05-09,1d
62512,M,1978-05-31,1b
62513,M,1999-12-13,1d
62514,F,1991-01-06,1c
62515,F,2016-08-03,1h
62516,M,1991-05-26,1c
62517,F,2012-10-24,1h
62518,F,1994-04-30,1b
62519,F,1986-12-06,1b
62520,F,1984-05-14,1b
62521,F,1990-10-21,1d
62522,F,1944-06-22,1d
62523,M,1992-11-17,1c
62524,F,1945-09-04,1g
62525,F,1987-09-14,1a
62526,M,1945-10-12,1b
62527,F,1988-04-15,1b
62528,M,1975-12-08,1g
62529,M,1993-12-30,1b
62530,F,1991-03-01,1b
62531,M,1963-08-11,1c
62532,F,1993-01-06,1b
62533,F,1992-10-31,1b
62534,M,1993-03-14,1b
62535,F,1993-01-07,1b
62536,M,1971-08-03,1b
62537,M,1991-11-06,1g
62538,F,1989-03-14,1g
62539,F,1982-09-17,1g
62540,M,1981-12-02,1b
62541,M,1968-09-10,1c
62542,F,1979-10-20,1a
62543,F,1969-10-31,1g
62544,F,1963-08-23,1g
62545,F,1982-10-10,1b
62546,F,2014-09-03,1h
62547,M,1986-09-04,1g
62548,M,1997-06-20,1g
62549,M,1994-11-05,1g
62550,M,1995-12-25,1g
62551,F,1990-12-15,1a
62552,M,2013-09-15,1g
62553,M,2011-06-03,1g
62554,M,1986-04-23,1g
62555,M,1952-09-18,1d
62556,M,1975-12-12,1d
62557,F,1984-02-20,1b
62558,F,1992-09-09,1b
62559,M,1991-11-02,1c
62560,F,1993-01-12,1g
62561,M,1995-10-25,1d
62562,F,2013-02-03,1g
62563,M,1994-11-01,1g
62564,F,1973-08-25,1d
62565,F,1995-06-18,1c
62566,F,1989-06-23,1b
62567,M,2012-07-31,1g
62568,F,1996-12-22,1g
62569,M,1993-06-16,1h
62570,F,1978-12-30,1g
62571,F,2014-03-22,1h
62572,F,2015-06-27,1h
62573,F,1992-09-21,1d
62574,M,2000-05-08,1d
62575,F,1983-04-10,1e
62576,F,1988-05-05,1g
62577,M,1978-10-28,1b
62578,F,1993-05-04,1b
62579,M,2012-10-16,1h
62580,M,1985-05-06,1c
62581,F,2015-09-16,1h
62582,F,1994-02-11,1b
62583,F,1989-10-06,1b
62584,M,1991-01-14,1b
62585,F,2000-05-06,1g
62586,F,1977-06-25,1c
62587,F,1981-12-19,1d
62588,F,1995-08-01,1c
62589,F,1961-02-02,1g
62590,M,2010-11-08,1g
62591,F,1987-09-11,1c
62592,M,2011-07-01,1f
62593,F,2011-04-09,1f
62594,F,1981-11-08,1d
62595,F,1966-11-02,1d
62596,F,1996-02-10,1b
62597,F,1991-10-20,1a
62598,M,1981-09-23,1b
62599,M,1984-10-04,1a
62600,F,1991-06-28,1a
62601,M,1979-10-10,1g
62602,F,1991-04-21,1c
62603,M,1989-11-26,1c
62604,M,1951-04-30,1c
62605,F,1992-05-12,1c
62606,F,1994-07-19,1b
62607,F,1989-10-09,1a
62608,F,1983-04-25,1b
62609,F,1990-09-21,1b
62610,M,1994-11-20,1g
62611,F,1986-02-14,1b
62612,F,1993-04-12,1b
62613,M,2016-02-19,1h
62614,M,1990-09-28,1c
62615,M,2010-09-27,1f
62616,M,2016-07-04,1h
62617,F,1981-12-23,1b
62618,M,1989-11-04,1a
62619,F,1990-01-25,1a
62620,F,2010-04-21,1f
62621,M,1990-04-01,1g
62622,M,1996-10-12,1c
62623,M,1993-11-01,1b
62624,F,1977-10-20,1a
62625,M,1974-02-07,1b
62626,M,1991-09-01,1b
62627,F,1999-09-20,1c
62628,M,1992-07-23,1c
62629,F,1980-12-15,1c
62630,M,1981-11-16,1c
62631,M,1978-02-21,1b
62632,M,1990-07-07,1b
62633,M,1991-06-15,1b
62634,F,1981-10-01,1b
62635,F,1973-12-01,1g
62636,M,1991-10-04,1b
62637,F,2016-04-15,1h
62638,M,1997-09-27,1c
62639,M,1991-06-04,1b
62640,F,1994-02-04,1g
62641,M,2014-01-26,1g
62642,F,1983-08-22,1b
62643,F,1982-12-19,1h
62644,F,2011-09-26,1g
62645,M,1990-11-12,1a
62646,M,2011-11-04,1g
62647,M,1991-08-10,1b
62648,F,1977-02-05,1b
62649,F,1993-08-21,1b
62650,F,1983-06-13,1a
62651,M,1977-05-02,1b
62652,M,1979-01-08,1b
62653,M,1994-09-27,1b
62654,M,1969-12-27,1e
62655,F,1954-04-08,1g
62656,F,1992-08-19,1b
62657,M,1989-07-20,1b
62658,M,1948-07-23,1g
62659,F,1991-11-13,1g
62660,M,1987-06-05,1e
62661,F,1991-08-20,1g
62662,M,1975-01-07,1g
62663,F,1992-08-25,1a
62664,M,1973-06-22,1g
62665,M,2012-09-18,1h
62666,F,1989-11-01,1a
62667,M,2012-10-06,1h
62668,F,1978-08-03,1g
62669,F,1991-12-12,1b
62670,F,1984-08-28,1a
62671,F,1990-04-28,1g
62672,M,1991-09-08,1b
62673,F,1973-11-08,1c
62674,M,1987-10-11,1b
62675,F,1993-06-26,1b
62676,F,2016-05-11,1g
62677,F,1951-02-12,1g
62678,F,1985-08-24,1b
62679,F,1984-05-09,1g
62680,M,2010-01-12,1f
62681,F,1982-02-23,1a
62682,F,1995-01-13,1b
62683,M,2016-10-19,1h
62684,M,1942-06-29,1a
62685,F,1997-12-23,1c
62686,F,2015-01-05,1h
62687,F,1984-12-22,1c
62688,M,1957-02-17,1a
62689,F,1991-01-04,1d
62690,F,1995-01-03,1b
62691,F,1993-10-26,1b
62692,M,1994-08-23,1g
62693,F,1992-12-05,1g
62694,F,1958-07-20,1g
62695,M,1951-01-14,1c
62696,F,1987-09-13,1e
62697,M,1981-10-23,1a
62698,F,1981-12-25,1a
62699,M,1937-11-24,1b
62700,M,2015-05-25,1h
62701,M,1980-08-13,1a
62702,F,1989-09-25,1g
62703,F,1990-11-01,1b
62704,M,1985-06-25,1b
62705,F,1980-08-25,1b
62706,F,1988-11-08,1b
62707,M,1954-01-11,1g
62708,M,2016-11-10,1h
62709,M,1983-05-09,1g
62710,M,1989-09-20,1g
62711,F,2012-10-14,1h
62712,M,1995-05-17,1g
62713,F,1979-09-24,1b
62714,M,1989-12-21,1g
62715,M,2012-12-18,1g
62716,F,1998-08-15,1g
62717,F,1998-07-11,1d
62718,M,2011-01-19,1f
62719,M,1979-03-12,1a
62720,F,1989-03-14,1c
62721,F,2014-01-18,1g
62722,F,1993-10-30,1b
62723,F,1984-07-26,1a
62724,M,1990-04-20,1a
62725,M,1984-10-23,1g
62726,M,1990-01-08,1b
62727,F,1992-03-02,1b
62728,F,1994-07-16,1b
62729,F,1989-03-13,1a
62730,M,1974-07-26,1c
62731,F,1992-07-31,1g
62732,F,1992-11-16,1g
62733,F,1984-02-29,1b
62734,F,1974-06-23,1c
62735,F,2015-01-31,1h
62736,F,1991-03-26,1g
62737,F,2012-02-28,1h
62738,M,1977-04-05,1g
62739,M,1991-04-04,1g
62740,F,1994-02-17,1c
62741,M,1938-08-02,1g
62742,M,1980-12-03,1b
62743,F,1995-08-24,1b
62744,F,1978-11-11,1c
62745,M,1992-10-16,1b
62746,F,1982-08-04,1c
62747,M,1983-11-06,1a
62748,F,1997-07-18,1b
62749,F,1990-01-22,1c
62750,M,1978-06-08,1d
62751,F,1989-03-09,1b
62752,F,1970-08-09,1g
62753,F,1990-08-27,1g
62754,F,1995-07-01,1b
62755,M,1979-10-23,1b
62756,F,2015-06-08,1g
62757,M,1991-08-11,1g
62758,F,1986-03-02,1a
62759,F,1994-03-17,1b
62760,F,1978-07-10,1c
62761,F,1995-04-16,1b
62762,M,2012-06-21,1g
62763,F,1986-10-05,1b
62764,F,1993-08-30,1b
62765,F,2012-07-27,1g
62766,M,2013-07-17,1h
62767,F,2010-06-07,1f
62768,F,1975-01-02,1a
62769,M,1989-12-10,1a
62770,M,2012-01-12,1h
62771,M,1978-10-24,1b
62772,F,1994-10-23,1b
62773,M,1995-01-23,1c
62774,M,2012-12-07,1g
62775,M,1980-01-02,1b
62776,M,1985-06-04,1c
62777,F,2000-10-13,1d
62778,F,2014-02-06,1h
62779,F,1985-03-22,1b
62780,F,1976-05-28,1a
62781,M,1981-03-19,1a
62782,F,1992-03-04,1c
62783,M,1981-06-06,1g
62784,M,1990-02-22,1g
62785,F,1992-04-28,1b
62786,F,1985-05-04,1c
62787,F,1995-11-02,1b
62788,F,1997-06-27,1c
62789,M,1985-08-29,1b
62790,M,1987-01-10,1a
62791,F,1991-08-28,1g
62792,F,1995-11-07,1c
62793,F,1992-01-01,1c
62794,F,1993-09-16,1b
62795,F,1995-04-09,1b
62796,M,1989-09-08,1b
62797,F,1990-03-11,1a
62798,M,1973-04-14,1a
62799,M,1992-06-08,1b
62800,M,1985-01-07,1b
62801,F,2013-02-21,1h
62802,F,1985-12-15,1b
62803,M,2014-03-21,1g
62804,F,1992-06-29,1b
62805,F,1980-10-26,1b
62806,M,1947-03-05,1d
62807,M,1990-02-12,1b
62808,M,2013-03-04,1g
62809,F,1976-05-24,1b
62810,F,1992-10-15,1a
62811,M,1987-09-14,1b
62812,M,1994-07-17,1c
62813,F,1962-10-04,1c
62814,F,1986-11-23,1g
62815,M,1967-02-27,1g
62816,M,1992-08-09,1c
62817,M,1991-09-13,1b
62818,M,1980-07-09,1d
62819,F,1954-03-19,1g
62820,F,1994-04-05,1b
62821,F,1989-09-11,1b
62822,M,2012-01-24,1g
62823,F,2013-10-15,1g
62824,M,1994-01-15,1b
62825,M,1990-07-02,1b
62826,M,2011-05-06,1f
62827,M,1989-04-17,1h
62828,M,1964-04-26,1a
62829,F,1991-08-05,1b
62830,F,1989-05-10,1d
62831,M,1962-07-27,1b
62832,M,1979-07-18,1b
62833,M,1983-08-17,1d
62834,F,1985-04-02,1b
62835,M,2011-02-24,1f
62836,M,1994-11-11,1b
62837,M,1972-11-15,1g
62838,F,1974-11-16,1b
62839,M,1994-07-12,1b
62840,F,1988-07-18,1g
62841,F,1981-09-26,1c
62842,M,1992-11-09,1g
62843,M,1976-06-05,1c
62844,F,1993-04-20,1g
62845,F,2011-08-29,1f
62846,F,1995-05-02,1b
62847,M,1987-01-02,1c
62848,M,1984-06-18,1a
62849,F,2016-12-03,1g
62850,F,2012-11-06,1g
62851,F,1988-11-17,1d
62852,F,1993-06-17,1g
62853,F,1986-10-17,1b
62854,F,1993-04-21,1b
62855,F,1955-08-27,1d
62856,M,1955-08-10,1b
62857,M,2013-05-02,1g
62858,F,1990-08-21,1g
62859,F,1950-03-31,1g
62860,M,1991-02-02,1a
62861,F,1988-10-10,1b
62862,M,2013-05-08,1h
62863,M,1987-06-09,1g
62864,F,2015-12-01,1h
62865,M,1987-07-04,1g
62866,M,1994-10-12,1c
62867,F,1990-06-28,1b
62868,F,1992-03-12,1a
62869,M,1991-12-17,1g
62870,M,1988-09-02,1d
62871,M,1974-09-12,1a
62872,M,1993-08-28,1a
62873,F,1991-02-14,1b
62874,F,1936-11-30,1g
62875,F,1995-09-25,1b
62876,M,1971-09-25,1b
62877,M,1984-01-18,1b
62878,M,1988-06-27,1b
62879,M,2014-09-23,1h
62880,F,2013-06-13,1g
62881,F,1988-01-01,1g
62882,M,1984-09-13,1b
62883,F,1990-03-16,1c
62884,F,1976-12-22,1b
62885,M,1971-03-02,1a
62886,F,2011-02-04,1f
62887,F,1994-10-30,1b
62888,F,1979-09-07,1g
62889,F,1995-02-26,1b
62890,M,1990-01-28,1b
62891,F,1993-04-29,1b
62892,F,1978-12-05,1b
62893,F,1988-11-12,1b
62894,M,1995-07-10,1c
62895,M,1993-10-05,1g
62896,M,1990-10-19,1a
62897,M,2011-01-14,1f
62898,F,1972-10-03,1d
62899,F,2014-06-11,1h
62900,M,1995-02-18,1c
62901,F,1992-06-22,1b
62902,F,1987-04-10,1a
62903,F,1993-04-15,1a
62904,F,2014-06-22,1h
62905,F,1990-04-11,1b
62906,F,1940-09-08,1g
62907,F,1997-04-18,1d
62908,F,1992-01-20,1b
62909,M,2013-07-09,1h
62910,F,1971-04-27,1c
62911,F,1990-02-23,1a
62912,M,1955-09-15,1b
62913,F,1928-07-22,1g
62914,M,1991-01-02,1a
62915,M,1979-06-24,1g
62916,M,1986-08-24,1a
62917,F,1976-01-07,1a
62918,F,1993-12-07,1c
62919,M,1981-08-18,1a
62920,F,2010-09-07,1f
62921,F,1992-01-10,1a
62922,F,1988-09-24,1d
62923,M,1991-12-27,1a
62924,F,1987-12-11,1a
62925,F,1994-12-12,1g
62926,F,1993-08-20,1b
62927,F,1990-02-03,1a
62928,F,1984-05-30,1b
62929,F,1986-10-13,1c
62930,F,1986-06-12,1a
62931,F,1983-09-20,1a
62932,F,1988-04-01,1a
62933,F,1993-03-29,1c
62934,M,2010-02-02,1f
62935,M,1996-11-07,1g
62936,F,1985-02-21,1a
62937,F,1969-12-12,1g
62938,F,1991-02-05,1b
62939,M,1989-09-22,1a
62940,F,1995-11-23,1b
62941,F,1996-05-27,1g
62942,F,1989-04-10,1a
62943,M,1987-05-03,1b
62944,M,1989-03-12,1g
62945,F,1969-03-11,1g
62946,M,1992-03-10,1g
62947,M,1974-04-19,1g
62948,F,1993-04-12,1g
62949,M,1983-09-07,1d
62950,F,1967-09-13,1e
62951,M,1967-03-26,1b
62952,M,1994-03-03,1b
62953,M,1990-03-26,1d
62954,F,1983-11-08,1c
62955,F,1993-05-05,1d
62956,F,2014-01-27,1h
62957,F,1993-04-05,1g
62958,F,1983-01-27,1a
62959,F,1974-12-29,1b
62960,F,1949-11-13,1g
62961,F,2012-07-05,1h
62962,M,1975-03-31,1a
62963,F,1993-06-17,1b
62964,M,1994-08-09,1b
62965,M,1967-09-28,1b
62966,F,1992-12-16,1g
62967,F,1992-12-18,1b
62968,F,1974-11-07,1b
62969,F,1974-10-16,1g
62970,M,1992-10-09,1b
62971,F,1995-05-27,1e
62972,M,1991-03-14,1b
62973,F,1990-07-07,1a
62974,F,1991-06-25,1a
62975,F,2011-09-14,1g
62976,M,1957-07-21,1d
62977,M,2014-02-26,1g
62978,M,2016-04-06,1g
62979,M,1993-08-15,1b
62980,M,1955-02-25,1g
62981,F,1994-05-22,1c
62982,F,1954-10-21,1a
62983,F,1989-06-14,1g
62984,M,1960-10-09,1d
62985,M,1995-07-19,1b
62986,M,1963-01-14,1b
62987,F,2006-03-04,1f
62988,M,2004-05-21,1f
62989,F,1990-05-28,1a
62990,F,1982-09-20,1b
62991,F,1993-10-16,1a
62992,M,2001-03-27,1d
62993,F,2010-07-30,1f
62994,F,2010-03-11,1f
62995,F,2009-12-13,1f
62996,F,2010-03-30,1f
62997,M,2009-12-21,1f
62998,M,2009-12-28,1f
62999,F,2010-06-01,1f
63000,F,2010-03-06,1f
63001,F,2010-07-23,1f
63002,F,2009-10-07,1f
63003,F,1981-12-09,1a
63004,M,1993-05-23,1c
63005,F,1995-08-04,1c
63006,F,1955-02-06,1g
63007,F,1995-10-08,1h
63008,M,2010-01-01,1f
63009,M,2010-01-12,1f
63010,M,2009-10-18,1f
63011,M,2010-06-10,1f
63012,M,2010-08-07,1f
63013,F,1979-03-21,1b
63014,F,1994-10-02,1c
63015,F,1995-03-04,1g
63016,M,2013-03-17,1g
63017,F,1957-10-03,1c
63018,M,1992-02-27,1b
63019,M,1994-07-09,1b
63020,F,2011-01-07,1f
63021,F,1984-07-28,1a
63022,F,2009-09-04,1f
63023,M,2010-08-06,1f
63024,F,2010-02-05,1f
63025,F,1986-10-30,1d
63026,M,2009-09-05,1f
63027,F,2010-07-27,1f
63028,M,2009-11-20,1f
63029,F,2009-09-29,1f
63030,M,2009-09-26,1f
63031,F,2009-10-16,1f
63032,M,2010-05-06,1f
63033,F,1965-03-04,1a
63034,F,1995-12-14,1b
63035,M,2012-12-21,1h
63036,F,2010-03-18,1f
63037,F,2009-11-03,1f
63038,M,2010-05-28,1f
63039,M,2009-12-29,1f
63040,F,2010-06-12,1f
63041,M,2010-07-07,1f
63042,F,2010-05-01,1f
63043,F,2009-09-28,1f
63044,F,1993-09-15,1b
63045,F,1991-02-04,1b
63046,F,2010-06-16,1f
63047,M,2009-11-21,1f
63048,M,2009-10-07,1f
63049,M,2009-12-30,1f
63050,M,2009-10-25,1f
63051,M,2010-07-13,1f
63052,F,2010-08-31,1f
63053,F,2009-09-22,1f
63054,M,2009-12-10,1f
63055,M,2012-02-01,1h
63056,F,1977-02-23,1g
63057,M,1986-01-25,1b
63058,M,1985-10-30,1a
